slot_id,zone,aisle,x,y,level,capacity,category
137,10,41,6.0,4.0,6,67,general
138,10,42,10.0,4.0,6,64,bulk
139,10,43,14.0,4.0,4,61,fast
140,11,44,18.0,4.0,5,59,general
141,11,45,22.0,4.0,5,61,general
142,11,46,26.0,4.0,5,68,general
143,11,47,30.0,4.0,5,52,general
144,0,0,2.0,5.5,4,59,general
145,0,1,6.0,5.5,6,66,fragile
146,0,2,10.0,5.5,5,62,fragile
147,0,3,14.0,5.5,6,59,general
148,1,4,18.0,5.5,6,60,fragile
149,1,5,22.0,5.5,6,54,general
150,1,6,26.0,5.5,6,60,general
151,1,7,30.0,5.5,5,55,general
152,2,8,2.0,5.5,4,60,general
153,2,9,6.0,5.5,4,64,fragile
154,2,10,10.0,5.5,4,55,fragile
155,2,11,14.0,5.5,6,62,bulk
156,3,12,18.0,5.5,4,65,fast
157,3,13,22.0,5.5,4,68,general
158,3,14,26.0,5.5,4,68,bulk
159,3,15,30.0,5.5,4,56,fragile
160,4,16,2.0,5.5,6,64,fast
161,4,17,6.0,5.5,4,68,general
162,4,18,10.0,5.5,4,57,general
163,4,19,14.0,5.5,6,57,fast
164,5,20,18.0,5.5,4,54,fragile
165,5,21,22.0,5.5,5,66,fast
166,5,22,26.0,5.5,4,67,general
167,5,23,30.0,5.5,4,53,general
168,6,24,2.0,5.5,5,60,general
169,6,25,6.0,5.5,4,64,fragile
170,6,26,10.0,5.5,6,67,bulk
171,6,27,14.0,5.5,5,61,fast
172,7,28,18.0,5.5,6,68,fast
173,7,29,22.0,5.5,5,57,general
174,7,30,26.0,5.5,5,65,fast
175,7,31,30.0,5.5,5,68,fast
176,8,32,2.0,5.5,5,63,general
177,8,33,6.0,5.5,5,59,bulk
178,8,34,10.0,5.5,5,56,general
179,8,35,14.0,5.5,6,69,general
180,9,36,18.0,5.5,4,59,general
181,9,37,22.0,5.5,6,56,general
182,9,38,26.0,5.5,4,65,fast
183,9,39,30.0,5.5,4,52,general
184,10,40,2.0,5.5,4,58,bulk
185,10,41,6.0,5.5,6,65,fragile
186,10,42,10.0,5.5,4,54,general
187,10,43,14.0,5.5,6,57,fragile
188,11,44,18.0,5.5,5,53,fragile
189,11,45,22.0,5.5,5,61,general
190,11,46,26.0,5.5,4,53,fragile
191,11,47,30.0,5.5,5,55,fast
192,0,0,2.0,7.0,4,58,fragile
193,0,1,6.0,7.0,5,66,general
194,0,2,10.0,7.0,6,54,fragile
195,0,3,14.0,7.0,6,60,general
196,1,4,18.0,7.0,6,58,fragile
197,1,5,22.0,7.0,4,61,fast
198,1,6,26.0,7.0,6,57,general
199,1,7,30.0,7.0,5,66,general
200,2,8,2.0,7.0,6,58,fast
201,2,9,6.0,7.0,6,69,bulk
202,2,10,10.0,7.0,5,69,general
203,2,11,14.0,7.0,4,53,general
204,3,12,18.0,7.0,6,68,general
205,3,13,22.0,7.0,5,56,fast
206,3,14,26.0,7.0,4,59,general
207,3,15,30.0,7.0,5,67,general
208,4,16,2.0,7.0,4,58,bulk
209,4,17,6.0,7.0,6,62,general
210,4,18,10.0,7.0,5,59,fast
211,4,19,14.0,7.0,4,64,fast
212,5,20,18.0,7.0,4,65,bulk
213,5,21,22.0,7.0,5,61,fragile
214,5,22,26.0,7.0,5,63,general
215,5,23,30.0,7.0,6,57,bulk
216,6,24,2.0,7.0,5,60,general
217,6,25,6.0,7.0,5,65,general
218,6,26,10.0,7.0,6,54,fast
219,6,27,14.0,7.0,4,64,fragile
220,7,28,18.0,7.0,4,55,bulk
221,7,29,22.0,7.0,5,64,general
222,7,30,26.0,7.0,5,58,bulk
223,7,31,30.0,7.0,5,59,general
224,8,32,2.0,7.0,5,66,fragile
225,8,33,6.0,7.0,6,57,fast
226,8,34,10.0,7.0,6,67,fast
227,8,35,14.0,7.0,4,63,general
228,9,36,18.0,7.0,5,54,general
229,9,37,22.0,7.0,4,64,general
230,9,38,26.0,7.0,5,66,bulk
231,9,39,30.0,7.0,4,68,general
232,10,40,2.0,7.0,5,65,general
233,10,41,6.0,7.0,4,55,general
234,10,42,10.0,7.0,6,67,fast
235,10,43,14.0,7.0,5,65,fragile
236,11,44,18.0,7.0,5,56,fragile
237,11,45,22.0,7.0,4,56,general
238,11,46,26.0,7.0,6,57,general
239,11,47,30.0,7.0,5,60,fragile
240,0,0,2.0,8.5,6,52,bulk
241,0,1,6.0,8.5,5,58,fast
242,0,2,10.0,8.5,6,58,general
243,0,3,14.0,8.5,6,68,fragile
244,1,4,18.0,8.5,6,62,general
245,1,5,22.0,8.5,5,57,general
246,1,6,26.0,8.5,6,56,fast
247,1,7,30.0,8.5,4,56,fast
248,2,8,2.0,8.5,6,60,general
249,2,9,6.0,8.5,4,58,general
250,2,10,10.0,8.5,4,54,fast
251,2,11,14.0,8.5,4,57,bulk
252,3,12,18.0,8.5,5,69,fast
253,3,13,22.0,8.5,5,63,general
254,3,14,26.0,8.5,4,57,fast
255,3,15,30.0,8.5,6,68,bulk
256,4,16,2.0,8.5,4,56,bulk
257,4,17,6.0,8.5,5,65,fragile
258,4,18,10.0,8.5,5,63,fragile
259,4,19,14.0,8.5,5,67,general
260,5,20,18.0,8.5,4,59,general
261,5,21,22.0,8.5,6,54,fragile
262,5,22,26.0,8.5,6,59,general
263,5,23,30.0,8.5,6,59,general
264,6,24,2.0,8.5,5,67,fast
265,6,25,6.0,8.5,6,56,general
266,6,26,10.0,8.5,5,69,bulk
267,6,27,14.0,8.5,6,66,bulk
268,7,28,18.0,8.5,4,63,fast
269,7,29,22.0,8.5,4,57,bulk
270,7,30,26.0,8.5,5,57,fast
271,7,31,30.0,8.5,5,55,fast
272,8,32,2.0,8.5,6,55,fragile
273,8,33,6.0,8.5,6,60,bulk
274,8,34,10.0,8.5,6,62,fragile
275,8,35,14.0,8.5,6,66,fast
276,9,36,18.0,8.5,6,64,bulk
277,9,37,22.0,8.5,5,53,bulk
278,9,38,26.0,8.5,6,69,fast
279,9,39,30.0,8.5,6,57,general
280,10,40,2.0,8.5,5,56,fast
281,10,41,6.0,8.5,5,58,general
282,10,42,10.0,8.5,5,53,general
283,10,43,14.0,8.5,5,54,fast
284,11,44,18.0,8.5,4,54,general
285,11,45,22.0,8.5,4,56,bulk
286,11,46,26.0,8.5,4,65,bulk
287,11,47,30.0,8.5,5,58,general
288,0,0,2.0,10.0,5,64,general
289,0,1,6.0,10.0,6,68,general
290,0,2,10.0,10.0,4,69,general
291,0,3,14.0,10.0,4,66,fast
292,1,4,18.0,10.0,4,65,bulk
293,1,5,22.0,10.0,4,62,general
294,1,6,26.0,10.0,5,52,general
295,1,7,30.0,10.0,5,68,general
296,2,8,2.0,10.0,5,59,fragile
297,2,9,6.0,10.0,4,61,general
298,2,10,10.0,10.0,6,59,fragile
299,2,11,14.0,10.0,4,60,fragile
300,3,12,18.0,10.0,4,67,general
301,3,13,22.0,10.0,6,67,general
302,3,14,26.0,10.0,5,54,general
303,3,15,30.0,10.0,4,68,fragile
304,4,16,2.0,10.0,4,65,fast
305,4,17,6.0,10.0,5,61,bulk
306,4,18,10.0,10.0,4,54,fast
307,4,19,14.0,10.0,4,55,general
308,5,20,18.0,10.0,6,67,general
309,5,21,22.0,10.0,6,62,general
310,5,22,26.0,10.0,4,57,fast
311,5,23,30.0,10.0,4,53,bulk
312,6,24,2.0,10.0,4,52,fast
313,6,25,6.0,10.0,6,69,bulk
314,6,26,10.0,10.0,4,68,general
315,6,27,14.0,10.0,5,59,general
316,7,28,18.0,10.0,4,63,fast
317,7,29,22.0,10.0,4,63,general
318,7,30,26.0,10.0,5,52,fast
319,7,31,30.0,10.0,6,57,bulk
320,8,32,2.0,10.0,6,60,fragile
321,8,33,6.0,10.0,5,60,fast
322,8,34,10.0,10.0,4,55,fragile
323,8,35,14.0,10.0,5,69,fast
324,9,36,18.0,10.0,4,69,general
325,9,37,22.0,10.0,4,67,fragile
326,9,38,26.0,10.0,5,66,general
327,9,39,30.0,10.0,6,63,fast
328,10,40,2.0,10.0,4,52,general
329,10,41,6.0,10.0,5,69,fast
330,10,42,10.0,10.0,4,56,fast
331,10,43,14.0,10.0,4,60,fast
332,11,44,18.0,10.0,5,59,general
333,11,45,22.0,10.0,6,64,fast
334,11,46,26.0,10.0,5,69,general
335,11,47,30.0,10.0,4,61,fragile
336,0,0,2.0,11.5,5,53,fragile
337,0,1,6.0,11.5,4,61,general
338,0,2,10.0,11.5,6,65,fast
339,0,3,14.0,11.5,5,56,general
340,1,4,18.0,11.5,5,62,general
341,1,5,22.0,11.5,4,52,general
342,1,6,26.0,11.5,4,69,general
343,1,7,30.0,11.5,5,55,general
344,2,8,2.0,11.5,5,67,general
345,2,9,6.0,11.5,5,59,general
346,2,10,10.0,11.5,6,57,general
347,2,11,14.0,11.5,6,54,general
348,3,12,18.0,11.5,4,67,fast
349,3,13,22.0,11.5,6,66,bulk
350,3,14,26.0,11.5,5,63,fragile
351,3,15,30.0,11.5,4,68,bulk
352,4,16,2.0,11.5,6,67,fragile
353,4,17,6.0,11.5,6,59,general
354,4,18,10.0,11.5,4,56,bulk
355,4,19,14.0,11.5,4,66,general
356,5,20,18.0,11.5,4,54,fragile
357,5,21,22.0,11.5,6,67,bulk
358,5,22,26.0,11.5,6,65,general
359,5,23,30.0,11.5,4,61,fast
360,6,24,2.0,11.5,5,61,bulk
361,6,25,6.0,11.5,6,68,fast
362,6,26,10.0,11.5,4,54,fast
363,6,27,14.0,11.5,6,67,general
364,7,28,18.0,11.5,4,60,fragile
365,7,29,22.0,11.5,6,53,general
366,7,30,26.0,11.5,4,68,bulk
367,7,31,30.0,11.5,6,62,general
368,8,32,2.0,11.5,6,59,general
369,8,33,6.0,11.5,4,68,bulk
370,8,34,10.0,11.5,6,68,fast
371,8,35,14.0,11.5,5,65,general
372,9,36,18.0,11.5,5,55,general
373,9,37,22.0,11.5,6,55,general
374,9,38,26.0,11.5,6,66,general
375,9,39,30.0,11.5,4,63,general
376,10,40,2.0,11.5,4,60,general
377,10,41,6.0,11.5,5,59,fragile
378,10,42,10.0,11.5,5,56,general
379,10,43,14.0,11.5,4,56,bulk
380,11,44,18.0,11.5,5,65,general
381,11,45,22.0,11.5,4,65,general
382,11,46,26.0,11.5,6,64,bulk
383,11,47,30.0,11.5,5,54,fragile
384,0,0,2.0,13.0,4,69,fast
385,0,1,6.0,13.0,5,64,general
386,0,2,10.0,13.0,6,62,bulk
387,0,3,14.0,13.0,5,59,general
388,1,4,18.0,13.0,5,69,fast
389,1,5,22.0,13.0,5,60,general
390,1,6,26.0,13.0,4,56,fragile
391,1,7,30.0,13.0,5,56,general
392,2,8,2.0,13.0,5,53,fragile
393,2,9,6.0,13.0,6,59,general
394,2,10,10.0,13.0,5,53,general
395,2,11,14.0,13.0,4,69,general
396,3,12,18.0,13.0,6,65,bulk
397,3,13,22.0,13.0,4,63,fast
398,3,14,26.0,13.0,6,64,fast
399,3,15,30.0,13.0,5,67,general
400,4,16,2.0,13.0,6,68,bulk
401,4,17,6.0,13.0,6,67,fragile
402,4,18,10.0,13.0,6,56,fast
403,4,19,14.0,13.0,5,64,fragile
404,5,20,18.0,13.0,4,60,general
405,5,21,22.0,13.0,4,54,fragile
406,5,22,26.0,13.0,6,56,fragile
407,5,23,30.0,13.0,6,65,general
408,6,24,2.0,13.0,5,59,fast
409,6,25,6.0,13.0,6,60,bulk
410,6,26,10.0,13.0,5,54,general
411,6,27,14.0,13.0,6,66,bulk
412,7,28,18.0,13.0,5,61,fragile
413,7,29,22.0,13.0,4,61,fragile
414,7,30,26.0,13.0,5,68,bulk
415,7,31,30.0,13.0,4,53,fragile
416,8,32,2.0,13.0,6,59,fragile
417,8,33,6.0,13.0,6,60,fast
418,8,34,10.0,13.0,4,65,bulk
419,8,35,14.0,13.0,6,54,general
420,9,36,18.0,13.0,4,52,general
421,9,37,22.0,13.0,4,66,general
422,9,38,26.0,13.0,4,62,fragile
423,9,39,30.0,13.0,5,60,general
424,10,40,2.0,13.0,4,56,bulk
425,10,41,6.0,13.0,4,68,general
426,10,42,10.0,13.0,6,68,fast
427,10,43,14.0,13.0,5,54,general
428,11,44,18.0,13.0,6,56,general
429,11,45,22.0,13.0,4,58,general
430,11,46,26.0,13.0,4,63,fast
431,11,47,30.0,13.0,4,54,general
432,0,0,2.0,14.5,5,58,fragile
433,0,1,6.0,14.5,4,53,general
434,0,2,10.0,14.5,5,52,general
435,0,3,14.0,14.5,6,55,general
436,1,4,18.0,14.5,5,53,general
437,1,5,22.0,14.5,5,52,fast
438,1,6,26.0,14.5,6,57,bulk
439,1,7,30.0,14.5,4,55,fast
440,2,8,2.0,14.5,4,59,fast
441,2,9,6.0,14.5,5,62,fast
442,2,10,10.0,14.5,5,69,general
443,2,11,14.0,14.5,5,59,general
444,3,12,18.0,14.5,4,68,fast
445,3,13,22.0,14.5,5,52,general
446,3,14,26.0,14.5,6,54,bulk
447,3,15,30.0,14.5,5,55,fragile
448,4,16,2.0,14.5,6,66,general
449,4,17,6.0,14.5,5,52,general
450,4,18,10.0,14.5,5,58,fragile
451,4,19,14.0,14.5,4,64,fragile
452,5,20,18.0,14.5,5,56,bulk
453,5,21,22.0,14.5,5,56,fragile
454,5,22,26.0,14.5,4,60,fast
455,5,23,30.0,14.5,6,66,general
456,6,24,2.0,14.5,4,57,general
457,6,25,6.0,14.5,5,58,general
458,6,26,10.0,14.5,4,68,fragile
459,6,27,14.0,14.5,6,64,bulk
460,7,28,18.0,14.5,5,58,fast
461,7,29,22.0,14.5,4,64,general
462,7,30,26.0,14.5,4,58,general
463,7,31,30.0,14.5,4,66,fragile
464,8,32,2.0,14.5,6,53,general
465,8,33,6.0,14.5,6,62,general
466,8,34,10.0,14.5,5,64,general
467,8,35,14.0,14.5,5,58,fast
468,9,36,18.0,14.5,5,60,general
469,9,37,22.0,14.5,5,53,general
470,9,38,26.0,14.5,5,55,bulk
471,9,39,30.0,14.5,5,52,fragile
472,10,40,2.0,14.5,5,67,general
473,10,41,6.0,14.5,4,61,fragile
474,10,42,10.0,14.5,6,54,general
475,10,43,14.0,14.5,6,67,bulk
476,11,44,18.0,14.5,6,58,fragile
477,11,45,22.0,14.5,5,56,general
478,11,46,26.0,14.5,5,67,general
479,11,47,30.0,14.5,5,67,general
480,0,0,2.0,16.0,5,69,general
481,0,1,6.0,16.0,6,58,bulk
482,0,2,10.0,16.0,4,65,fast
483,0,3,14.0,16.0,6,69,general
484,1,4,18.0,16.0,6,62,fragile
485,1,5,22.0,16.0,6,67,general
486,1,6,26.0,16.0,4,68,fast
487,1,7,30.0,16.0,5,53,fragile
488,2,8,2.0,16.0,5,67,general
489,2,9,6.0,16.0,4,63,general
490,2,10,10.0,16.0,5,63,fast
491,2,11,14.0,16.0,4,68,fast
492,3,12,18.0,16.0,4,69,general
493,3,13,22.0,16.0,5,57,fragile
494,3,14,26.0,16.0,4,58,general
495,3,15,30.0,16.0,4,61,general
496,4,16,2.0,16.0,6,52,general
497,4,17,6.0,16.0,4,66,fragile
498,4,18,10.0,16.0,4,53,general
499,4,19,14.0,16.0,4,62,general
500,5,20,18.0,16.0,5,69,fast
501,5,21,22.0,16.0,6,66,general
502,5,22,26.0,16.0,4,59,fast
503,5,23,30.0,16.0,4,54,general
504,6,24,2.0,16.0,4,57,fragile
505,6,25,6.0,16.0,4,68,fragile
506,6,26,10.0,16.0,4,57,fragile
507,6,27,14.0,16.0,6,54,fast
508,7,28,18.0,16.0,4,63,general
509,7,29,22.0,16.0,5,57,general
510,7,30,26.0,16.0,6,54,bulk
511,7,31,30.0,16.0,6,64,fast
512,8,32,2.0,16.0,4,63,fragile
513,8,33,6.0,16.0,5,58,fast
514,8,34,10.0,16.0,4,62,fast
515,8,35,14.0,16.0,6,68,fast
516,9,36,18.0,16.0,5,58,general
517,9,37,22.0,16.0,6,57,general
518,9,38,26.0,16.0,5,67,fragile
519,9,39,30.0,16.0,5,56,general
520,10,40,2.0,16.0,4,61,fragile
521,10,41,6.0,16.0,6,66,general
522,10,42,10.0,16.0,6,61,fast
523,10,43,14.0,16.0,5,64,fast
524,11,44,18.0,16.0,4,65,general
525,11,45,22.0,16.0,5,57,general
526,11,46,26.0,16.0,5,57,fast
527,11,47,30.0,16.0,6,53,general
528,0,0,2.0,17.5,4,57,fast
529,0,1,6.0,17.5,5,59,general
530,0,2,10.0,17.5,6,55,general
531,0,3,14.0,17.5,4,58,general
532,1,4,18.0,17.5,6,69,bulk
533,1,5,22.0,17.5,5,67,general
534,1,6,26.0,17.5,4,62,general
535,1,7,30.0,17.5,4,68,general
536,2,8,2.0,17.5,6,57,general
537,2,9,6.0,17.5,6,61,bulk
538,2,10,10.0,17.5,4,64,fragile
539,2,11,14.0,17.5,5,69,general
540,3,12,18.0,17.5,4,58,general
541,3,13,22.0,17.5,4,57,general
542,3,14,26.0,17.5,4,61,general
543,3,15,30.0,17.5,6,63,bulk
544,4,16,2.0,17.5,5,58,general
545,4,17,6.0,17.5,6,57,general
546,4,18,10.0,17.5,6,54,general
547,4,19,14.0,17.5,6,52,general
548,5,20,18.0,17.5,4,53,fragile
549,5,21,22.0,17.5,5,53,general
550,5,22,26.0,17.5,5,59,general
551,5,23,30.0,17.5,5,52,fast
552,6,24,2.0,17.5,4,66,fast
553,6,25,6.0,17.5,4,53,general
554,6,26,10.0,17.5,5,69,general
555,6,27,14.0,17.5,4,69,fast
556,7,28,18.0,17.5,6,69,fast
557,7,29,22.0,17.5,4,53,general
558,7,30,26.0,17.5,6,53,fast
559,7,31,30.0,17.5,5,67,general
560,8,32,2.0,17.5,5,68,general
561,8,33,6.0,17.5,6,68,fragile
562,8,34,10.0,17.5,6,68,fast
563,8,35,14.0,17.5,4,61,general
564,9,36,18.0,17.5,5,57,general
565,9,37,22.0,17.5,4,61,general
566,9,38,26.0,17.5,6,55,fast
567,9,39,30.0,17.5,6,64,general
568,10,40,2.0,17.5,4,69,bulk
569,10,41,6.0,17.5,6,56,fast
570,10,42,10.0,17.5,6,62,fragile
571,10,43,14.0,17.5,6,57,general
572,11,44,18.0,17.5,6,58,general
573,11,45,22.0,17.5,6,52,general
574,11,46,26.0,17.5,4,52,fast
575,11,47,30.0,17.5,6,55,bulk
576,0,0,2.0,19.0,4,55,general
577,0,1,6.0,19.0,5,61,general
578,0,2,10.0,19.0,6,59,general
579,0,3,14.0,19.0,6,57,fast
580,1,4,18.0,19.0,4,61,general
581,1,5,22.0,19.0,5,66,general
582,1,6,26.0,19.0,5,56,general
583,1,7,30.0,19.0,5,66,general
584,2,8,2.0,19.0,4,58,general
585,2,9,6.0,19.0,6,59,general
586,2,10,10.0,19.0,4,65,fast
587,2,11,14.0,19.0,5,64,fragile
588,3,12,18.0,19.0,4,66,fragile
589,3,13,22.0,19.0,6,66,fast
590,3,14,26.0,19.0,6,66,general
591,3,15,30.0,19.0,5,66,fragile
592,4,16,2.0,19.0,4,62,fast
593,4,17,6.0,19.0,4,69,general
594,4,18,10.0,19.0,4,59,fragile
595,4,19,14.0,19.0,4,55,fast
596,5,20,18.0,19.0,4,54,fast
597,5,21,22.0,19.0,5,62,general
598,5,22,26.0,19.0,5,59,general
599,5,23,30.0,19.0,6,60,fragile
600,6,24,2.0,19.0,6,56,general
601,6,25,6.0,19.0,6,52,general
602,6,26,10.0,19.0,5,69,fast
603,6,27,14.0,19.0,5,64,fragile
604,7,28,18.0,19.0,6,55,general
605,7,29,22.0,19.0,4,53,general
606,7,30,26.0,19.0,6,54,fragile
607,7,31,30.0,19.0,5,55,fast
608,8,32,2.0,19.0,5,63,general
609,8,33,6.0,19.0,4,65,general
610,8,34,10.0,19.0,4,56,fast
611,8,35,14.0,19.0,4,68,general
612,9,36,18.0,19.0,4,61,general
613,9,37,22.0,19.0,5,65,general
614,9,38,26.0,19.0,5,67,general
615,9,39,30.0,19.0,5,67,general
616,10,40,2.0,19.0,6,65,general
617,10,41,6.0,19.0,5,61,fast
618,10,42,10.0,19.0,4,52,general
619,10,43,14.0,19.0,4,60,general
620,11,44,18.0,19.0,5,59,general
621,11,45,22.0,19.0,4,57,fragile
622,11,46,26.0,19.0,6,58,general
623,11,47,30.0,19.0,6,53,fragile
624,0,0,2.0,20.5,6,64,general
625,0,1,6.0,20.5,5,55,fast
626,0,2,10.0,20.5,5,69,fast
627,0,3,14.0,20.5,6,56,general
628,1,4,18.0,20.5,5,59,fast
629,1,5,22.0,20.5,6,67,fast
630,1,6,26.0,20.5,4,69,fragile
631,1,7,30.0,20.5,4,52,fast
632,2,8,2.0,20.5,4,65,fast
633,2,9,6.0,20.5,5,59,bulk
634,2,10,10.0,20.5,6,63,bulk
635,2,11,14.0,20.5,5,69,bulk
636,3,12,18.0,20.5,5,68,general
637,3,13,22.0,20.5,4,68,fragile
638,3,14,26.0,20.5,4,59,fast
639,3,15,30.0,20.5,4,53,general
640,4,16,2.0,20.5,5,53,general
641,4,17,6.0,20.5,6,65,fast
642,4,18,10.0,20.5,6,59,general
643,4,19,14.0,20.5,6,67,general
644,5,20,18.0,20.5,4,61,general
645,5,21,22.0,20.5,5,55,general
646,5,22,26.0,20.5,6,62,fragile
647,5,23,30.0,20.5,6,56,fast
648,6,24,2.0,20.5,6,61,general
649,6,25,6.0,20.5,5,64,general
650,6,26,10.0,20.5,4,65,bulk
651,6,27,14.0,20.5,6,65,general
652,7,28,18.0,20.5,5,66,bulk
653,7,29,22.0,20.5,4,67,fast
654,7,30,26.0,20.5,6,61,fast
655,7,31,30.0,20.5,5,59,fast
656,8,32,2.0,20.5,4,66,fast
657,8,33,6.0,20.5,6,52,fast
658,8,34,10.0,20.5,5,63,bulk
659,8,35,14.0,20.5,6,69,fast
660,9,36,18.0,20.5,5,60,fast
661,9,37,22.0,20.5,4,56,general
662,9,38,26.0,20.5,6,66,general
663,9,39,30.0,20.5,6,65,general
664,10,40,2.0,20.5,4,58,general
665,10,41,6.0,20.5,5,68,fragile
666,10,42,10.0,20.5,5,61,general
667,10,43,14.0,20.5,6,61,fragile
668,11,44,18.0,20.5,5,61,general
669,11,45,22.0,20.5,6,61,general
